"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"JN.1.2"	0.0402838	0.02735	0.05322	86	"British Columbia"	0	"HV.1*"
"BA.2.86.1"	0.03946502	0.02505	0.05388	46	"British Columbia"	0	"HV.1*"
"JN.2*"	0.03944572	0.02967	0.04922	411	"British Columbia"	0	"HV.1"
"JD.1.1.3"	0.03940091	0.01707	0.06173	14	"Canada"	0	"HV.1*"
"JN.1.10"	0.03917182	0.01454	0.0638	11	"Canada"	0	"HV.1*"
"JG.3.2"	0.03833861	0.03197	0.04471	548	"Canada"	0	"HV.1*"
"JN.1.1"	0.03798407	0.00682	0.06915	62	"Quebec"	0	"HV.1*"
"JN.1.1*"	0.03798407	0.00682	0.06915	62	"Quebec"	0	"HV.1"
"JN.1.19"	0.03709044	0.02579	0.04839	56	"Canada"	0	"HV.1*"
"JG.3.2"	0.03663646	0.02538	0.04789	286	"Ontario"	0	"HV.1*"
"JN.1.1*"	0.03647021	0.02361	0.04933	181	"Alberta"	0	"HV.1"
"JN.1.6"	0.03600358	0.01641	0.0556	25	"British Columbia"	0	"HV.1*"
"JN.1.6*"	0.03600358	0.01641	0.0556	25	"British Columbia"	0	"HV.1"
"JG.3"	0.03597934	0.00006	0.0719	22	"New Brunswick"	0	"HV.1*"
"JF.1.1.2"	0.03587897	0	0.07483	13	"Ontario"	0	"HV.1*"
"JN.1.1"	0.03561134	0.02248	0.04874	174	"Alberta"	0	"HV.1*"
"JN.2*"	0.03558041	0.022	0.04916	91	"Alberta"	0	"HV.1"
"EG.5.1.4"	0.0351304	0.02258	0.04768	68	"Canada"	0	"HV.1*"
"HK.3"	0.0350422	0.00763	0.06245	65	"New Brunswick"	0	"HV.1*"
"HK.3.2"	0.0346713	0	0.07044	16	"Ontario"	0	"HV.1*"
"JJ*"	0.03450105	0.02199	0.04701	69	"Canada"	0	"HV.1"
"KL.1"	0.03441704	0.01656	0.05227	71	"Ontario"	0	"HV.1*"
"EG.5.1.4"	0.03437544	0.01841	0.05034	45	"British Columbia"	0	"HV.1*"
"JJ*"	0.03437544	0.01841	0.05034	45	"British Columbia"	0	"HV.1"
"HK.3*"	0.03369144	0.00647	0.06091	67	"New Brunswick"	0	"HV.1"
"JG.3*"	0.03346238	0.02754	0.03938	747	"Canada"	0	"HV.1"
"JG*"	0.03303228	0.02713	0.03893	754	"Canada"	0	"HV.1"
"EG.5.1.8"	0.03291192	0.01376	0.05207	24	"Canada"	0	"HV.1*"
"JG.3*"	0.03278031	0.0223	0.04326	367	"Ontario"	0	"HV.1"
"JG*"	0.03215986	0.02172	0.0426	372	"Ontario"	0	"HV.1"
"HK*"	0.03128669	0.00474	0.05783	89	"New Brunswick"	0	"HV.1"
"KB*"	0.03084076	0.01426	0.04742	35	"Canada"	0	"HV.1"
"HN*"	0.03025785	0.01532	0.0452	35	"Canada"	0	"HV.1"
"KH*"	0.03017138	0.00896	0.05138	20	"Canada"	0	"HV.1"
"JF.1.1*"	0.0299419	0	0.06909	14	"Ontario"	0	"HV.1"
"JE.1*"	0.02802453	0.00713	0.04892	22	"Canada"	0	"HV.1"
"JG.3*"	0.02702405	0	0.06127	54	"Nova Scotia"	0	"HV.1"
"JG.3.2"	0.02685592	0	0.06171	38	"Nova Scotia"	0	"HV.1*"
"JF*"	0.02649201	0	0.05778	24	"Ontario"	0	"HV.1"
"JG*"	0.02632777	0	0.06053	55	"Nova Scotia"	0	"HV.1"
"GJ*"	0.02594238	0.00492	0.04697	23	"Canada"	0	"HV.1"
"FY*"	0.02507727	0.00079	0.04936	17	"Canada"	0	"HV.1"
