"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-02-06	"BA.2.3.20"	0	"0%"
2023-02-06	"BA.2.75"	0	"0%"
2023-02-06	"BA.2.75.2"	0	"0%"
2023-02-06	"BN.1"	0	"0%"
2023-02-06	"BN.1.3"	0	"0%"
2023-02-06	"BN.1.3.1"	0	"0%"
2023-02-06	"CH.1.1"	2	"3%"
2023-02-06	"CM.2"	0	"0%"
2023-02-06	"CM.8.1"	0	"0%"
2023-02-06	"other lineages"	3	"4%"
2023-02-06	"XBB.1"	4	"5%"
2023-02-06	"XBB.1.5"	70	"89%"
2023-02-06	"XBB.2"	0	"0%"
