#node	date	numeric date
hCoV-19/Canada/ON-PHL-20-00269/2020_A.1_2020-05-08	2020-05-08	2020.351093
hCoV-19/Canada/ON-PHL-20-00352/2020_A.1_2020-05-15	2020-05-15	2020.370219
NODE_0000133	2020-04-04	2020.258082
hCoV-19/Canada/Qc-JEW-Q9221781/2020_A.1_2020-05-22	2020-05-22	2020.389344
NODE_0000134	2020-04-04	2020.258926
hCoV-19/Canada/QC-JUS-V802166599/2020_A.1_2020-06-01	2020-06-01	2020.416667
NODE_0000135	2020-04-05	2020.259930
hCoV-19/Canada/QC-L00253697/2020_A.1_2020-04-24	2020-04-24	2020.312842
NODE_0000136	2020-04-06	2020.263139
hCoV-19/Canada/QC-HSCM-P6302218GP/2020_A.1_2020-04-30	2020-04-30	2020.329235
hCoV-19/Canada/QC-HMR-96061986/2020_A.1_2020-04-06	2020-04-06	2020.263661
NODE_0000137	2020-02-03	2020.092882
NODE_0000138	2020-03-02	2020.169362
hCoV-19/Canada/Qc-LSPQ-L00241344/2020_A.5_2020-03-27	2020-03-27	2020.236339
hCoV-19/Canada/NL_72/2020_A.5_2020-03-19	2020-03-19	2020.214481
NODE_0000139	2020-03-15	2020.204669
hCoV-19/Canada/AB-18102/2020_A_2020-04-14	2020-04-14	2020.285519
NODE_0000140	2020-03-15	2020.204669
hCoV-19/Canada/AB-43723/2020_A_2020-04-27	2020-04-27	2020.321038
NODE_0000141	2020-03-15	2020.204669
NODE_0000142	2020-03-15	2020.204669
NODE_0000143	2020-03-23	2020.225174
hCoV-19/Canada/AB-51538/2020_A_2020-04-21	2020-04-21	2020.304645
hCoV-19/Canada/AB-88086/2020_A_2020-05-18	2020-05-18	2020.378415
NODE_0000144	2020-03-15	2020.204669
hCoV-19/Canada/AB-95028/2020_A.4_2020-04-04	2020-04-04	2020.258197
NODE_0000145	2020-10-23	2020.811328
hCoV-19/Canada/BC-BCCDC-37442/2021_A.21_2021-01-18	2021-01-18	2021.047945
hCoV-19/Canada/QC-1nMCY-S9122635/2021_A.21_2021-01-12	2021-01-12	2021.031507
NODE_0000146	2020-03-17	2020.207878
hCoV-19/Canada/QC-JUS-V6010692/2020_A_2020-03-30	2020-03-30	2020.244536
NODE_0000147	2020-03-23	2020.224222
NODE_0000148	2020-04-10	2020.273270
hCoV-19/Canada/MB-NML-1463/2020_A_2020-08-12	2020-08-12	2020.613388
NODE_0000149	2020-04-11	2020.276478
NODE_0000150	2020-05-06	2020.346119
hCoV-19/Canada/NB-NML-5590/2021_A.19_2021-01-10	2021-01-10	2021.026027
NODE_0000151	2020-08-04	2020.591053
hCoV-19/Canada/ON-PHL-20-01828/2020_A.19_2020-08-05	2020-08-05	2020.594262
hCoV-19/Canada/ON-PHL-20-01841/2020_A.19_2020-08-10	2020-08-10	2020.607923
NODE_0000152	2021-01-29	2021.078082
hCoV-19/Canada/QC-1nMCY-S9293455/2021_A.18_2021-01-29	2021-01-29	2021.078082
NODE_0000153	2021-02-04	2021.094051
hCoV-19/Canada/QC-1nMCY-T0052244/2021_A.18_2021-02-05	2021-02-05	2021.097260
NODE_0000154	2021-02-07	2021.102270
hCoV-19/Canada/QC-1nDJXQ-Q6152404C2/2021_A.18_2021-02-15	2021-02-15	2021.124658
hCoV-19/Canada/QC-1nMCY-T0083172/2021_A.18_2021-02-08	2021-02-08	2021.105479
NODE_0000155	2020-05-10	2020.355215
NODE_0000156	2020-05-11	2020.358424
NODE_0000157	2020-05-11	2020.358424
hCoV-19/Canada/BC-BCCDC-4758/2020_A_2020-08-07	2020-08-07	2020.599727
hCoV-19/Canada/ON-PHL-20-00979/2020_A.25_2020-06-08	2020-06-08	2020.435792
NODE_0000158	2020-05-12	2020.361633
NODE_0000159	2021-01-27	2021.071678
hCoV-19/Canada/ON-PHL-21-04564/2021_A.29_2021-02-11	2021-02-11	2021.113699
NODE_0000160	2021-01-27	2021.072603
hCoV-19/Canada/ON-PHL-21-05654/2021_A.29_2021-02-17	2021-02-17	2021.130137
hCoV-19/Canada/ON-PHL-21-01557-v3/2021_A.29_2021-01-27	2021-01-27	2021.072603
NODE_0000161	2021-01-25	2021.067255
hCoV-19/Canada/ON-PHL-21-06239/2021_A_2021-02-27	2021-02-27	2021.157534
NODE_0000162	2021-02-06	2021.101281
NODE_0000163	2021-02-20	2021.137277
hCoV-19/Canada/ON-PHL-21-07812-v2/2021_A_2021-03-10	2021-03-10	2021.187671
NODE_0000164	2021-02-21	2021.140486
hCoV-19/Canada/ON-PHL-21-06430/2021_A_2021-03-06	2021-03-06	2021.176712
hCoV-19/Canada/Qc-L00334989/2021_A_2021-02-21	2021-02-21	2021.141096
NODE_0000165	2021-03-25	2021.227861
hCoV-19/Canada/QC-1nKWV-W908063299/2021_A_2021-05-07	2021-05-07	2021.346575
NODE_0000166	2021-05-01	2021.329668
hCoV-19/Canada/QC-L00350908001A/2021_A_2021-05-02	2021-05-02	2021.332877
hCoV-19/Canada/QC-L00353090/2021_A_2021-05-10	2021-05-10	2021.354795
NODE_0000167	2020-06-22	2020.474029
hCoV-19/CANADA/ABPHL-11380/2021_A_2021-03-26	2021-03-26	2021.231507
NODE_0000168	2020-10-22	2020.807573
NODE_0000169	2020-12-31	2020.999249
hCoV-19/Canada/NB-NML-6349/2021_A.23.1_2021-01-15	2021-01-15	2021.039726
NODE_0000170	2021-01-02	2021.003640
hCoV-19/Canada/NB-NML-16171/2021_A.23.1_2021-01-26	2021-01-26	2021.069863
hCoV-19/Canada/NB-NML-3301/2021_A.23.1_2021-01-03	2021-01-03	2021.006849
NODE_0000171	2020-10-31	2020.832575
NODE_0000172	2021-01-13	2021.033926
hCoV-19/Canada/ON-PHL-21-01404/2021_A.23.1_2021-01-22	2021-01-22	2021.058904
NODE_0000173	2021-02-14	2021.122516
hCoV-19/Canada/ON-PHL-21-06153/2021_A.23.1_2021-02-27	2021-02-27	2021.157534
NODE_0000174	2021-04-30	2021.327315
hCoV-19/Canada/ON-PHL-21-18056/2021_A.23.1_2021-05-20	2021-05-20	2021.382192
NODE_0000175	2021-05-01	2021.330523
hCoV-19/Canada/ON-PHL-21-16450/2021_A.23.1_2021-05-06	2021-05-06	2021.343836
hCoV-19/Canada/ON-PHL-21-17186/2021_A.23.1_2021-05-11	2021-05-11	2021.357534
NODE_0000176	2020-11-30	2020.913307
NODE_0000177	2020-12-01	2020.916326
NODE_0000178	2020-12-02	2020.919495
hCoV-19/Canada/AB-ABPHL-03536/2020_A.23.1_2020-12-29	2020-12-29	2020.993169
hCoV-19/Canada/AB-ABPHL-02416/2020_A.23.1_2020-12-14	2020-12-14	2020.952186
NODE_0000179	2020-12-02	2020.918544
hCoV-19/Canada/AB-ABPHL-04184/2020_A.23.1_2020-12-02	2020-12-02	2020.919399
NODE_0000180	2021-01-29	2021.077194
hCoV-19/Canada/AB-ABPHL-03987/2021_A.23.1_2021-02-09	2021-02-09	2021.108219
hCoV-19/Canada/AB-ABPHL-06134/2021_A.23.1_2021-02-06	2021-02-06	2021.100000
NODE_0000181	2020-12-21	2020.971445
NODE_0000182	2020-12-21	2020.971445
hCoV-19/Canada/AB-ABPHL-02447/2020_A.23.1_2020-12-25	2020-12-25	2020.982240
hCoV-19/Canada/AB-ABPHL-05237/2021_A.23.1_2021-01-09	2021-01-09	2021.023288
NODE_0000183	2021-03-08	2021.181124
hCoV-19/CANADA/ABPHL-09532/2021_A.23.1_2021-03-15	2021-03-15	2021.201370
NODE_0000184	2021-03-21	2021.218124
NODE_0000185	2021-03-29	2021.239257
hCoV-19/CANADA/ABPHL-11336/2021_A.23.1_2021-03-30	2021-03-30	2021.242466
hCoV-19/Canada/AB-ABPHL-18295/2021_A.23.1_2021-04-27	2021-04-27	2021.319178
NODE_0000186	2021-04-13	2021.280822
hCoV-19/CANADA/ABPHL-20494/2021_A.23.1_2021-06-18	2021-06-18	2021.461644
hCoV-19/CANADA/ABPHL-15683/2021_A.23.1_2021-04-13	2021-04-13	2021.280822
NODE_0000187	2020-01-16	2020.042127
NODE_0000188	2020-02-10	2020.110854
NODE_0000189	2020-02-22	2020.142481
NODE_0000190	2020-04-03	2020.255553
NODE_0000191	2020-04-04	2020.258762
NODE_0000192	2020-06-28	2020.491700
hCoV-19/Canada/ON-PHL-20-03001/2020_B.1.1_2020-10-27	2020-10-27	2020.821038
NODE_0000193	2020-06-30	2020.494909
hCoV-19/Canada/BC-BCCDC-4280/2020_B.1.1.272_2020-08-28	2020-08-28	2020.657104
NODE_0000194	2020-07-01	2020.498118
hCoV-19/Canada/BC-BCCDC-4338/2020_B.1.1_2020-08-31	2020-08-31	2020.665301
hCoV-19/Canada/BC-BCCDC-5405/2020_B.1.1_2020-09-29	2020-09-29	2020.744536
NODE_0000195	2020-04-04	2020.258762
NODE_0000196	2020-04-28	2020.324078
hCoV-19/Canada/BC-BCCDC-3631/2020_B.1.1.305_2020-07-08	2020-07-08	2020.517760
NODE_0000197	2020-08-10	2020.607923
hCoV-19/Canada/QC-1nIEOQ-0081278714/2020_B.1.1.305_2020-08-26	2020-08-26	2020.651639
hCoV-19/Canada/QC-1nIEOQ-0081240617/2020_B.1.1.305_2020-08-10	2020-08-10	2020.607923
NODE_0000198	2020-04-14	2020.285935
