#node	date	numeric date
hCoV-19/Canada/QC-L00355204001A/2021_A.2.5.1_2021-05-08	2021-05-08	2021.349315
NODE_0000150	2020-12-30	2020.994762
NODE_0000151	2021-03-15	2021.200464
hCoV-19/Canada/QC-L00349123001A/2021_A.2.5_2021-04-14	2021-04-14	2021.283562
NODE_0000152	2021-03-15	2021.201370
hCoV-19/Canada/QC-1nIUH-5524349603/2021_A.2.5_2021-03-25	2021-03-25	2021.228767
hCoV-19/Canada/QC-1nDJXQ-Q7153423/2021_A.2.5_2021-03-15	2021-03-15	2021.201370
NODE_0000153	2020-12-30	2020.994762
NODE_0000154	2020-12-31	2020.997904
hCoV-19/Canada/NS-NML-16223/2021_A.2.5_2021-01-16	2021-01-16	2021.042466
NODE_0000155	2021-01-27	2021.073165
hCoV-19/Canada/ON-PHL-21-19153/2021_A.2.5_2021-03-30	2021-03-30	2021.242466
hCoV-19/Canada/ON-PHL-21-15686/2021_A.2.5_2021-04-27	2021-04-27	2021.319178
NODE_0000156	2021-02-27	2021.157033
hCoV-19/Canada/QC-L00358860001/2021_A.2.5_2021-06-03	2021-06-03	2021.420548
NODE_0000157	2021-03-13	2021.197123
NODE_0000158	2021-04-10	2021.272042
hCoV-19/Canada/QC-L00373042001/2021_A.2.5_2021-08-06	2021-08-06	2021.595890
NODE_0000159	2021-05-14	2021.365753
hCoV-19/Canada/QC-1nSKP-636857890/2021_A.2.5_2021-05-14	2021-05-14	2021.365753
hCoV-19/Canada/QC-L00358422/2021_A.2.5_2021-05-29	2021-05-29	2021.406849
NODE_0000160	2021-03-15	2021.200265
NODE_0000161	2021-03-16	2021.203408
hCoV-19/Canada/QC-L00359298001/2021_A.2.5_2021-06-07	2021-06-07	2021.431507
hCoV-19/Canada/QC-L00352013/2021_A.2.5_2021-05-08	2021-05-08	2021.349315
NODE_0000162	2021-07-08	2021.516438
hCoV-19/Canada/ON-PHL-21-25379/2021_A.2.5_2021-07-08	2021-07-08	2021.516438
hCoV-19/Canada/ON-PHL-21-25641/2021_A.2.5_2021-07-12	2021-07-12	2021.527397
NODE_0000163	2021-01-03	2021.006400
NODE_0000164	2021-01-03	2021.006987
NODE_0000165	2021-01-03	2021.007932
hCoV-19/Canada/QC-1nKGZ-R7141416/2021_A.2.5.2_2021-01-14	2021-01-14	2021.036986
NODE_0000166	2021-01-04	2021.008843
