"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"FL.4"	0.03119229	0.02308	0.03931	123	"Ontario"
"XBB.1.16"	0.03109696	0.02104	0.04116	213	"British Columbia"
"XBB.1.16.9"	0.03103933	0.01402	0.04805	21	"Quebec"
"XCF*"	0.0307702	0.01694	0.0446	20	"Canada"
"XBB.1.16.1"	0.0303721	0.02114	0.0396	85	"Quebec"
"XBB.1.5.50"	0.03002393	0.00885	0.0512	33	"Alberta"
"XBB.1.5.100"	0.02991406	0.01529	0.04454	26	"Ontario"
"HY*"	0.02991406	0.01529	0.04454	26	"Ontario"
"XBB.1.5.44"	0.02954962	0.02071	0.03839	54	"Canada"
"FK.1*"	0.02942743	0.01977	0.03908	44	"Canada"
"FL.1.5"	0.02923709	0.0161	0.04238	23	"Canada"
"HR*"	0.02907913	0.01995	0.03821	50	"Canada"
"XBB.2.3"	0.02907852	0.02337	0.03479	142	"Canada"
"XBB.2.3*"	0.02900715	0.02556	0.03246	619	"Canada"
"CH.1.1.14"	0.02875584	0.01438	0.04313	19	"Canada"
"FL*"	0.02827106	0.02553	0.03101	1691	"Canada"
"FE.1.1"	0.02817765	0.01545	0.04091	25	"Canada"
"XBB.1.16*"	0.02803824	0.02374	0.03234	830	"Ontario"
"HZ*"	0.02786639	0.01116	0.04457	14	"Canada"
"XBB.1.16*"	0.02773818	0.02517	0.03031	2239	"Canada"
"XBB.1.16.1"	0.02769176	-0.00153	0.05691	14	"Alberta"
"HA.1"	0.02762428	0.01593	0.03931	30	"Canada"
"FK.1.5"	0.0276056	0.01144	0.04377	15	"Canada"
"XBB.2.3.6"	0.0274494	0.01441	0.04048	24	"Canada"
"BA.5.2*"	0.02728401	0.01234	0.04223	18	"Canada"
"FL*"	0.02716006	0.02243	0.03189	521	"Quebec"
"XBB.1.16.9"	0.02708224	0.01498	0.03918	28	"Canada"
"EG.1"	0.02701611	0.00639	0.04765	31	"British Columbia"
"FL.12"	0.02699878	0.01062	0.04338	15	"Canada"
"XBB.1.5.73"	0.02697964	0.00793	0.04603	17	"Quebec"
"XBB.1.5.73"	0.02697731	0.0181	0.03586	55	"Canada"
"FL.7"	0.02690272	0.01146	0.04234	17	"Canada"
"XBB.1.9*"	0.02676004	0.01839	0.03513	380	"British Columbia"
"HA.1"	0.0266979	0.01218	0.04122	27	"Ontario"
"HA*"	0.0266979	0.01218	0.04122	27	"Ontario"
"HM.1"	0.02657694	0.01191	0.04124	19	"Canada"
"FE.1.1*"	0.02644719	0.0194	0.03349	97	"Canada"
"FL.2"	0.02642327	0.01778	0.03507	60	"Canada"
"FL.4*"	0.02632023	0.01873	0.03392	128	"Quebec"
"FE.1.1*"	0.02628243	0.01524	0.03732	60	"Quebec"
"FL.4"	0.0262348	0.01862	0.03385	127	"Quebec"
"FL.1.3"	0.02619022	0.01246	0.03992	22	"Canada"
"FL.3"	0.02613673	0.01705	0.03523	53	"Canada"
"XBB.1.5.62"	0.02604916	0.01606	0.03604	43	"Canada"
"XBB.1.5.49"	0.02597765	0.01635	0.0356	79	"Quebec"
"BA.2.75*"	0.02559585	0.00423	0.04696	27	"British Columbia"
"XCF.2"	0.02552241	0.01033	0.04072	18	"Canada"
"GZ*"	0.02545437	0.00625	0.04466	11	"Canada"
"XBB.1.17.1"	0.02537131	0.01093	0.03981	20	"Canada"
"FU*"	0.02528887	0.02118	0.0294	373	"Canada"
"XBB.1.5.25"	0.02528769	0.00894	0.04163	24	"Quebec"
"FL.4*"	0.02522962	0.02105	0.02941	397	"Canada"
"HE*"	0.02508652	0.01704	0.03313	72	"Canada"
